,price,kms_driven,owner,age,power,brand
81,260000,3800,First Owner,2,650,Royal Enfield
82,38000,33000,First Owner,7,125,Honda
83,130000,17500,Second Owner,4,250,KTM
84,118000,19000,First Owner,4,410,Royal Enfield
85,14700,10000,First Owner,11,135,Bajaj
86,85000,54000,First Owner,6,350,Royal Enfield
87,40000,27000,First Owner,7,220,Bajaj
88,50000,19000,First Owner,6,150,Yamaha
89,71800,43500,First Owner,7,350,Royal Enfield
91,75000,11575,First Owner,4,200,Bajaj
92,1350000,190,First Owner,1,1100,Ducati
93,790000,19000,First Owner,3,765,Triumph
94,47000,8600,First Owner,4,150,Bajaj
95,60000,2000,First Owner,2,150,Bajaj
96,96700,5100,First Owner,1,150,Suzuki
97,31900,9000,First Owner,5,100,Hero
98,35000,44480,First Owner,13,150,Bajaj
99,240000,11000,First Owner,3,390,KTM
100,68000,16000,First Owner,7,250,Honda
101,80000,26691,First Owner,5,200,Bajaj
102,135000,45000,First Owner,5,350,Royal Enfield
103,11100,12000,Third Owner,12,150,Bajaj
104,480000,14200,First Owner,4,600,Benelli
105,65000,41000,First Owner,3,150,Suzuki
106,60000,15000,First Owner,5,150,Yamaha
107,80000,12314,First Owner,4,150,Honda
108,46000,11760,First Owner,3,100,Hero
109,95000,22000,First Owner,11,500,Royal Enfield
110,400000,1800,First Owner,4,650,Hyosung
111,55000,4400,First Owner,4,150,Bajaj
112,63000,16000,First Owner,5,150,Yamaha
113,51000,9000,First Owner,4,150,Bajaj
114,69900,8700,First Owner,3,160,TVS
115,125000,1342,First Owner,4,200,Bajaj
116,210000,21000,First Owner,6,300,Benelli
117,35900,19000,First Owner,5,125,Honda
118,67000,13000,First Owner,9,250,Honda
119,29339,12771,First Owner,4,100,Hero
120,19695,51576,First Owner,6,100,Hero
121,48672,608,First Owner,2,110,Hero
122,40000,13680,First Owner,9,150,Honda
123,500000,285,First Owner,5,600,Yamaha
124,800000,3,First Owner,3,1299,Ducati
125,110000,24676,First Owner,5,410,Royal Enfield
126,92500,11000,First Owner,6,350,Royal Enfield
127,57000,28948,First Owner,5,200,Bajaj
128,72500,10000,First Owner,10,350,Royal Enfield
129,68000,16000,First Owner,9,200,KTM
130,21500,10500,First Owner,5,125,TVS
131,40000,20000,First Owner,6,160,TVS
132,91000,18000,First Owner,5,350,Royal Enfield
133,300000,3500,First Owner,6,750,Harley-Davidson
134,47000,70000,First Owner,6,150,Suzuki
135,53000,18158,First Owner,6,150,Suzuki
136,51000,39140,First Owner,5,150,Suzuki
137,48000,27776,First Owner,8,220,Bajaj
138,55000,32734,First Owner,6,220,Bajaj
139,173300,14000,First Owner,2,410,Royal Enfield
140,77000,13000,First Owner,8,350,Royal Enfield
141,115000,5000,First Owner,2,200,Bajaj
142,36000,39500,First Owner,7,150,Bajaj
143,72000,29500,First Owner,4,220,Bajaj
144,115000,14900,First Owner,3,350,Royal Enfield
145,65000,2000,First Owner,3,125,Honda
146,99000,4000,First Owner,2,150,Honda
147,68500,68500,Second Owner,7,150,Yamaha
148,140000,2473,First Owner,2,150,Yamaha
149,130000,9221,First Owner,3,200,KTM
150,46000,37128,First Owner,7,200,Bajaj
151,30000,16166,First Owner,6,125,Hero
152,116000,11716,First Owner,3,400,Bajaj
153,130000,8419,First Owner,3,350,Royal Enfield
154,98000,13459,First Owner,5,350,Royal Enfield
155,85000,14704,First Owner,6,350,Royal Enfield
158,50000,9200,First Owner,4,150,Bajaj
159,100000,30294,First Owner,5,350,Royal Enfield
160,66000,19756,First Owner,8,350,Royal Enfield
165,80000,12000,First Owner,2,160,Honda
166,123600,7702,First Owner,3,350,Royal Enfield
167,950000,312,First Owner,3,1300,Suzuki
168,107000,17000,First Owner,4,350,Royal Enfield
169,600000,16000,First Owner,5,821,Ducati
170,80000,3500,First Owner,3,150,Yamaha
171,75000,11050,First Owner,4,150,Suzuki
172,43778,948,First Owner,2,125,Hero
173,118000,11200,Second Owner,5,200,KTM
174,68000,10407,First Owner,5,150,Yamaha
175,27000,23000,First Owner,8,125,Bajaj
176,48500,5500,First Owner,2,100,Hero
177,15000,38000,First Owner,15,223,Hero
178,95000,23000,First Owner,5,200,KTM
179,145000,4500,First Owner,4,200,KTM
180,62000,11227,First Owner,3,150,Yamaha
181,25000,45000,First Owner,9,100,Hero
182,700000,100,First Owner,6,1198,Ducati
183,160000,3500,First Owner,3,500,Royal Enfield
184,47500,30000,First Owner,5,220,Bajaj
185,21000,38000,First Owner,9,150,Yamaha
186,18000,22000,First Owner,12,125,Yamaha
187,36000,54560,First Owner,8,223,Hero
188,52000,33150,First Owner,6,150,Yamaha
189,435000,5550,Second Owner,7,883,Harley-Davidson
190,68000,12077,First Owner,5,200,TVS
191,80000,5000,First Owner,4,220,Bajaj
192,110800,13300,First Owner,6,500,Royal Enfield
193,85000,16000,First Owner,2,160,TVS
194,145000,4000,First Owner,2,350,Royal Enfield
195,145000,3000,First Owner,3,400,Bajaj
196,149000,7000,First Owner,3,350,Royal Enfield
197,60000,4000,First Owner,2,100,Hero
198,140000,11000,First Owner,4,350,Royal Enfield
199,85000,15000,First Owner,7,200,KTM
200,86000,15000,First Owner,3,220,Bajaj
201,115000,15500,First Owner,4,350,Royal Enfield
202,83000,500,First Owner,3,150,Suzuki
207,28000,35251,First Owner,12,180,Bajaj
208,14500,35000,First Owner,14,100,Hero
209,32000,22000,First Owner,5,110,Hero
210,62500,26000,First Owner,5,180,Bajaj
211,122500,10000,First Owner,3,150,Yamaha
212,24500,15000,First Owner,6,100,Bajaj
213,78500,26000,First Owner,4,200,TVS
214,102500,21000,First Owner,4,350,Royal Enfield
215,28000,28428,First Owner,9,110,TVS
216,130000,10149,First Owner,3,350,Royal Enfield
217,130000,7036,First Owner,3,350,Royal Enfield
218,115000,7593,First Owner,4,400,Bajaj
219,96000,17000,First Owner,6,200,KTM
220,29500,15798,First Owner,4,100,Bajaj
221,100000,4800,First Owner,4,150,Yamaha
222,177982,7000,First Owner,2,410,Royal Enfield
223,202000,11000,First Owner,2,410,Royal Enfield
225,113000,28000,Third Owner,6,200,KTM
226,45400,23000,Second Owner,5,220,Bajaj
227,105000,16000,First Owner,4,350,Royal Enfield
228,885000,300,First Owner,2,959,Ducati
229,30000,50000,First Owner,6,150,Yamaha
230,22000,22000,First Owner,6,100,Bajaj
231,115000,10000,First Owner,4,350,Royal Enfield
232,55000,3000,First Owner,4,150,Bajaj
233,20000,55000,First Owner,9,125,Bajaj
234,56000,16500,First Owner,4,110,Hero
235,28000,36000,First Owner,5,100,TVS
236,44000,7329,First Owner,3,125,Hero
237,190000,8780,First Owner,2,400,Bajaj
238,78000,20000,First Owner,8,350,Royal Enfield
239,18787,28164,First Owner,10,125,Honda
240,51500,20600,First Owner,6,200,Bajaj
241,54200,5700,First Owner,6,220,Bajaj
242,175000,11277,First Owner,3,500,Royal Enfield
243,48000,26000,First Owner,7,220,Bajaj
244,40000,4000,First Owner,5,110,Honda
245,102400,11600,First Owner,4,400,Bajaj
246,65000,8800,First Owner,3,150,Yamaha
247,170000,2100,First Owner,4,390,KTM
248,12999,65000,First Owner,13,150,Bajaj
249,87000,20000,First Owner,6,200,KTM
250,45600,18000,Second Owner,5,220,Bajaj
251,42000,58000,First Owner,7,180,Bajaj
252,47000,24445,First Owner,8,200,Bajaj
253,31000,34525,First Owner,7,100,Bajaj
254,72500,19000,First Owner,4,150,Suzuki
255,80999,4000,First Owner,3,150,Suzuki
256,85000,9148,First Owner,6,200,Bajaj
257,60000,16000,First Owner,5,160,TVS
258,148999,3694,First Owner,4,400,Bajaj
259,49000,7524,First Owner,5,150,Bajaj
260,30000,23000,First Owner,8,100,Hero
261,140000,12800,First Owner,6,200,KTM
262,237818,1440,First Owner,2,390,KTM
265,23600,22672,Second Owner,6,150,Yamaha
266,100000,25000,First Owner,8,500,Royal Enfield
267,160700,10000,First Owner,3,200,KTM
268,78000,34200,First Owner,6,350,Royal Enfield
269,45000,7000,First Owner,4,150,Bajaj
270,60000,3490,First Owner,9,350,Royal Enfield
271,150000,7500,First Owner,5,200,KTM
272,37000,13500,First Owner,5,150,Bajaj
273,125000,11000,First Owner,5,350,Royal Enfield
274,70000,56353,First Owner,5,200,Bajaj
275,40000,25000,First Owner,7,220,Bajaj
276,62000,1123,First Owner,2,125,Yamaha
277,280000,1500,First Owner,2,650,Royal Enfield
278,44000,15000,First Owner,4,150,Bajaj
279,85000,31000,First Owner,7,350,Royal Enfield
280,51000,28000,First Owner,5,220,Bajaj
281,75000,11460,First Owner,3,220,Bajaj
282,160000,23000,First Owner,5,390,KTM
283,106000,1175,First Owner,2,200,Bajaj
284,599999,7800,Third Owner,5,675,Triumph
285,85000,15000,First Owner,7,250,Honda
286,31500,28653,First Owner,8,100,Hero
287,150000,8000,Second Owner,6,250,Hyosung
288,210000,2100,First Owner,2,295,Jawa
289,50000,3300,First Owner,4,125,Bajaj
290,29300,19000,First Owner,6,100,Bajaj
291,35740,20400,First Owner,4,125,Bajaj
292,24500,25000,First Owner,10,150,Yamaha
293,45000,18000,First Owner,7,223,Hero
294,210000,12000,First Owner,4,390,KTM
298,71000,11000,First Owner,9,350,Royal Enfield
303,80400,5100,Second Owner,4,250,Yamaha
304,135000,2200,First Owner,4,350,Royal Enfield
305,350000,3100,First Owner,6,750,Harley-Davidson
306,57000,1500,First Owner,11,223,Hero
307,76000,3000,First Owner,2,200,Hero
308,42100,22560,First Owner,11,150,Bajaj
309,73000,16658,First Owner,6,150,Yamaha
310,366000,3135,First Owner,3,302,Benelli
311,61200,29000,Second Owner,3,160,Honda
312,82000,29860,First Owner,7,350,Royal Enfield
313,120000,12000,First Owner,5,350,Royal Enfield
315,80000,7000,First Owner,3,160,TVS
316,81800,3700,First Owner,2,150,Suzuki
317,45900,27000,First Owner,6,220,Bajaj
319,86200,9300,First Owner,4,200,Bajaj
320,40000,9000,First Owner,3,100,Hero
321,10000,21389,First Owner,12,150,Hero
322,155000,13500,First Owner,5,250,Hyosung
323,46000,24374,First Owner,6,200,Bajaj
324,215000,9600,First Owner,4,390,KTM
326,23000,37000,First Owner,7,110,Honda
327,55250,7781,Second Owner,3,220,Bajaj
328,58000,7758,First Owner,2,110,Hero
329,66000,8000,First Owner,3,150,Yamaha
330,55000,32000,First Owner,7,223,Hero
331,89730,12100,First Owner,9,500,Royal Enfield
332,108000,26811,First Owner,6,350,Royal Enfield
333,314100,13500,First Owner,3,320,Yamaha
334,125000,16500,First Owner,39,350,Royal Enfield
335,18800,10401,First Owner,8,100,Hero
336,417000,13000,Second Owner,5,750,Harley-Davidson
337,105000,20500,First Owner,4,400,Bajaj
338,20000,19211,First Owner,6,110,Honda
339,88000,22500,First Owner,10,350,Royal Enfield
340,47000,14009,First Owner,2,125,Bajaj
341,95000,11000,First Owner,2,220,Bajaj
342,108000,2982,First Owner,3,150,Yamaha
343,186100,12000,First Owner,3,390,KTM
344,81500,3000,First Owner,1,125,Honda
345,20000,30806,First Owner,5,100,Bajaj
346,15000,55000,Second Owner,13,150,Bajaj
347,39000,5000,First Owner,5,150,Bajaj
348,102500,29000,First Owner,5,350,Royal Enfield
349,87000,15000,First Owner,7,350,Royal Enfield
350,118000,14500,First Owner,3,400,Bajaj
351,131100,6200,First Owner,4,350,Royal Enfield
355,42000,19000,First Owner,5,160,Honda
356,45000,15000,First Owner,4,110,Honda
359,255000,2200,First Owner,3,310,BMW
360,78700,3710,First Owner,2,160,TVS
361,62800,38400,Second Owner,7,250,Honda
362,35000,18000,First Owner,6,150,Bajaj
363,33800,17000,First Owner,5,150,Bajaj
364,125000,21000,Third Owner,11,250,Kawasaki
365,146000,4700,First Owner,5,410,Royal Enfield
366,569400,3174,First Owner,6,899,Benelli
367,1900000,1700,First Owner,6,1800,Indian
368,600000,230,First Owner,1,650,Kawasaki
369,185000,3000,First Owner,2,200,KTM
370,32000,32000,First Owner,5,100,Hero
371,38000,21000,First Owner,4,125,Hero
372,35000,38717,First Owner,5,150,Bajaj
373,42000,1999,First Owner,3,150,Hero
374,9350,39822,Second Owner,13,150,TVS
375,330000,7500,First Owner,5,650,Kawasaki
376,36500,23000,First Owner,7,100,Hero
377,38000,17376,Second Owner,5,100,Hero
378,75000,33000,First Owner,8,350,Royal Enfield
381,230000,9500,First Owner,4,300,Benelli
382,31500,20000,First Owner,8,160,TVS
385,46000,35000,First Owner,16,350,Royal Enfield
386,109900,8600,First Owner,5,350,Royal Enfield
388,35000,18000,First Owner,5,150,Bajaj
389,65000,18000,First Owner,3,160,Bajaj
390,175000,1800,First Owner,2,295,Jawa
391,126000,23000,First Owner,4,350,Royal Enfield
392,25000,29000,First Owner,9,125,Honda
393,89000,5000,First Owner,2,150,Honda
394,160000,7500,First Owner,2,350,Royal Enfield
395,130000,15000,First Owner,2,200,Bajaj
396,33500,26000,Second Owner,12,125,Honda
397,128000,8000,First Owner,3,150,Yamaha
398,143000,7000,First Owner,3,350,Royal Enfield
399,31000,31464,Second Owner,9,135,Bajaj
400,72000,7419,First Owner,3,150,Suzuki
401,108500,10000,First Owner,2,200,TVS
402,74500,10000,First Owner,4,220,Bajaj
403,24000,6300,First Owner,4,100,Bajaj
404,80000,17000,First Owner,3,220,Bajaj
405,81000,22000,First Owner,3,220,Bajaj
406,115000,15000,Second Owner,5,350,Royal Enfield
419,56500,10000,First Owner,2,110,Hero
420,75000,16000,First Owner,4,220,Bajaj
421,72000,32542,First Owner,6,150,Yamaha
422,73000,7461,First Owner,4,150,Suzuki
423,69500,28000,First Owner,6,200,Bajaj
424,78500,9800,First Owner,3,160,TVS
425,87000,7000,First Owner,2,160,TVS
426,40000,16688,Second Owner,6,180,TVS
427,145000,16000,First Owner,5,300,Mahindra
428,265000,12900,First Owner,2,650,Royal Enfield
429,235000,7000,First Owner,4,300,Benelli
430,400000,3000,First Owner,6,750,Harley-Davidson
431,30000,11000,First Owner,13,110,Honda
432,140000,14000,First Owner,5,200,KTM
433,98000,17000,First Owner,3,250,Yamaha
434,74500,5432,Second Owner,6,350,Royal Enfield
435,75000,3419,First Owner,3,200,TVS
436,27500,25757,First Owner,8,125,Hero
437,10200,71474,First Owner,12,150,TVS
438,57000,17000,First Owner,5,150,Bajaj
439,21000,34688,First Owner,13,160,TVS
440,68500,8100,First Owner,3,160,Bajaj
441,174500,7900,First Owner,3,250,KTM
442,108000,20000,First Owner,5,350,Royal Enfield
448,50000,12000,First Owner,4,150,Suzuki
449,118000,12000,First Owner,7,535,Royal Enfield
451,33000,17525,First Owner,5,125,Hero
452,150000,9000,First Owner,4,200,KTM
453,70000,5000,First Owner,4,220,Bajaj
454,105000,13200,First Owner,6,350,Royal Enfield
455,135000,5000,First Owner,4,400,Bajaj
456,140000,7500,First Owner,4,400,Bajaj
457,26000,28000,First Owner,8,110,Hero
458,230000,1100,First Owner,4,390,KTM
459,53000,25000,First Owner,5,125,Honda
460,76000,7500,First Owner,4,150,Bajaj
461,135000,7000,First Owner,4,400,Bajaj
462,45000,10200,First Owner,4,125,Bajaj
463,60000,3500,First Owner,4,150,Bajaj
464,40000,15000,First Owner,4,110,Hero
465,133000,8000,First Owner,4,350,Royal Enfield
466,25000,33000,First Owner,7,100,Bajaj
467,99999,5500,First Owner,3,150,Suzuki
468,130000,14500,Second Owner,8,250,Honda
469,25000,40688,First Owner,5,100,Hero
470,75000,15000,First Owner,4,220,Bajaj
471,53000,10000,First Owner,5,180,Bajaj
472,25000,16801,First Owner,6,125,Suzuki
473,46500,21342,First Owner,5,150,Bajaj
474,18999,38669,Third Owner,6,110,Mahindra
475,17800,10000,First Owner,8,110,Mahindra
476,52000,17000,First Owner,4,180,Bajaj
477,70000,13500,First Owner,4,160,Honda
478,85000,7350,First Owner,5,150,Yamaha
479,150000,4000,First Owner,2,350,Royal Enfield
480,115000,27000,First Owner,5,350,Royal Enfield
481,93200,6500,First Owner,5,150,Honda
482,155000,21250,First Owner,5,390,KTM
483,78000,16000,First Owner,6,200,Bajaj
484,85000,12600,First Owner,7,350,Royal Enfield
485,43000,32000,First Owner,5,150,Bajaj
486,50390,45949,First Owner,4,160,TVS
487,128700,15900,Second Owner,5,500,Royal Enfield
488,510000,5600,First Owner,4,750,Harley-Davidson
489,65000,33000,First Owner,4,150,Yamaha
490,55000,2000,First Owner,9,150,Honda
491,126000,6518,First Owner,4,350,Royal Enfield
492,53300,10000,First Owner,2,100,Hero
493,76000,10000,First Owner,4,200,Bajaj
494,140000,10200,First Owner,4,400,Bajaj
495,13600,87267,First Owner,13,135,Bajaj
496,73000,2100,First Owner,3,180,TVS
497,17000,28130,Second Owner,8,125,Bajaj
498,29000,39000,First Owner,6,150,Bajaj
499,49000,7500,First Owner,5,150,Suzuki
500,371100,6300,Second Owner,5,750,Harley-Davidson
501,30000,7334,First Owner,7,100,Bajaj
502,70000,3400,First Owner,4,150,Bajaj
503,131000,9900,First Owner,4,350,Royal Enfield
504,65000,7000,First Owner,4,160,Bajaj
505,65000,2600,First Owner,2,100,Hero
506,96000,24000,First Owner,5,350,Royal Enfield
507,28500,30000,First Owner,7,150,Bajaj
508,62400,8100,First Owner,4,200,Bajaj
509,85000,34000,First Owner,9,350,Royal Enfield
510,66000,15000,First Owner,2,150,Bajaj
511,85000,7000,First Owner,2,160,TVS
512,18551,21832,First Owner,13,135,Bajaj
513,95000,13890,First Owner,3,200,TVS
514,130000,8500,First Owner,3,400,Bajaj
515,98000,7300,First Owner,7,350,Royal Enfield
516,53400,1500,First Owner,3,110,Honda
517,120000,8700,First Owner,5,200,Bajaj
518,58000,44580,First Owner,5,160,Honda
519,97000,10473,First Owner,3,150,Yamaha
520,38000,29451,First Owner,5,100,Bajaj
521,24500,14324,First Owner,6,125,Bajaj
522,129000,1123,First Owner,2,125,KTM
523,20000,28000,First Owner,9,150,Bajaj
524,123000,900,First Owner,4,350,Royal Enfield
525,62000,70000,First Owner,14,350,Royal Enfield
526,82000,14180,First Owner,7,150,Yamaha
527,24500,26453,First Owner,9,125,Honda
528,59300,9107,First Owner,3,150,Yamaha
529,41000,35000,First Owner,7,125,Hero
530,80000,6300,First Owner,3,150,Yamaha
531,93500,10100,Second Owner,7,500,Royal Enfield
540,43000,6336,First Owner,4,150,Bajaj
544,150000,4981,First Owner,6,390,KTM
545,22500,25431,First Owner,9,100,Bajaj
547,69000,15000,First Owner,3,180,Bajaj
549,75800,6500,First Owner,3,200,Bajaj
555,30000,22000,First Owner,9,110,TVS
556,225000,17300,First Owner,6,300,Benelli
557,355000,7400,First Owner,7,750,Harley-Davidson
558,58000,14000,First Owner,5,160,TVS
559,60000,10300,First Owner,5,150,Bajaj
560,75200,16000,First Owner,3,150,Suzuki
561,130000,6200,First Owner,4,350,Royal Enfield
562,26900,20000,First Owner,9,180,Bajaj
563,145000,15000,First Owner,4,200,KTM
564,154000,8000,First Owner,6,390,KTM
565,350000,5000,First Owner,5,750,Harley-Davidson
566,105000,20000,First Owner,6,350,Royal Enfield
567,260000,8500,First Owner,3,310,BMW
568,89900,20000,First Owner,6,350,Royal Enfield
569,25000,16000,First Owner,7,100,Hero
570,220000,12500,First Owner,3,390,KTM
571,150000,11500,First Owner,5,390,KTM
572,60000,21000,Second Owner,6,150,Honda
573,110000,37000,First Owner,7,500,Royal Enfield
574,42000,25868,First Owner,8,150,Honda
575,106000,4508,First Owner,4,150,Yamaha
576,34000,17501,First Owner,10,150,Bajaj
577,55000,25000,First Owner,5,160,Honda
578,526300,12000,First Owner,3,650,Kawasaki
579,41000,15800,First Owner,4,100,Bajaj
584,785000,2900,First Owner,4,1130,Benelli
585,22000,42554,First Owner,6,125,Honda
586,165147,12000,First Owner,4,390,KTM
587,90000,13140,First Owner,8,350,Royal Enfield
588,140000,9500,First Owner,5,200,KTM
589,16800,134200,First Owner,10,150,Honda
590,70000,11000,First Owner,7,350,Royal Enfield
591,58000,29451,First Owner,6,150,Suzuki
592,32000,21884,Second Owner,8,100,Hero
593,230000,16150,Second Owner,8,650,Hyosung
594,91800,1050,First Owner,2,160,TVS
595,119000,10544,First Owner,9,500,Royal Enfield
596,23000,30000,First Owner,7,100,Hero
597,210000,6013,First Owner,3,390,KTM
598,43000,17000,First Owner,5,150,Bajaj
599,45000,5800,First Owner,7,220,Bajaj
600,42000,6500,First Owner,5,100,Hero
601,440000,10800,First Owner,3,600,Benelli
602,72250,6282,First Owner,5,200,KTM
603,18200,40000,First Owner,9,125,Honda
608,395000,5000,First Owner,6,650,Hyosung
609,140000,2881,First Owner,7,250,Hyosung
610,700000,14200,First Owner,13,1000,Yamaha
611,72000,3490,First Owner,3,200,Hero
612,18000,39859,First Owner,11,150,Yamaha
613,1000000,4400,Second Owner,5,1200,Ducati
614,750000,9500,First Owner,4,1050,Triumph
615,29000,9000,First Owner,9,150,Honda
616,120000,11795,First Owner,5,350,Royal Enfield
617,1260000,17000,First Owner,4,1300,Suzuki
618,700000,172,First Owner,3,1130,Indian
619,35000,26000,First Owner,2,150,Bajaj
620,115000,14000,First Owner,4,350,Royal Enfield
621,25000,20000,First Owner,8,100,Hero
622,143500,5700,First Owner,3,350,Royal Enfield
623,118000,10000,First Owner,4,350,Royal Enfield
624,129500,6300,First Owner,3,350,Royal Enfield
625,138000,7253,First Owner,2,250,Yamaha
626,63000,19333,First Owner,4,220,Bajaj
627,200000,1255,First Owner,2,295,Jawa
628,77500,45,First Owner,3,150,Yamaha
629,99000,32158,First Owner,6,350,Royal Enfield
630,27000,29858,First Owner,4,100,Bajaj
631,44000,27000,First Owner,6,220,Bajaj
632,28000,70251,First Owner,13,150,Bajaj
633,22000,19000,First Owner,9,150,Yamaha
634,19000,23420,First Owner,10,100,Bajaj
635,126999,22000,First Owner,5,200,KTM
636,25000,41000,First Owner,8,100,TVS
637,90000,12500,First Owner,3,200,Bajaj
638,89000,800,First Owner,2,160,Honda
639,47000,13935,First Owner,5,150,Bajaj
640,119500,12000,First Owner,4,400,Bajaj
641,130000,20000,First Owner,3,350,Royal Enfield
642,62000,11500,First Owner,4,220,Bajaj
643,70000,7000,First Owner,3,180,Bajaj
644,31000,21447,First Owner,7,100,Bajaj
645,41500,15000,First Owner,3,100,Bajaj
646,52500,9000,First Owner,3,100,Hero
647,36000,2980,First Owner,6,160,TVS
648,40000,17600,First Owner,5,125,Honda
659,160000,5000,First Owner,6,250,Hyosung
660,470000,12000,First Owner,3,650,Kawasaki
664,89000,3000,First Owner,2,160,TVS
665,34000,26840,First Owner,9,150,Bajaj
666,112000,4000,First Owner,3,150,Yamaha
667,27000,35000,First Owner,7,150,Honda
668,25000,28000,First Owner,8,100,Hero
669,39100,16000,First Owner,6,150,Suzuki
670,58500,11500,Second Owner,5,220,Bajaj
671,126000,20556,First Owner,6,350,Royal Enfield
672,45000,40500,First Owner,5,150,Hero
673,48000,13000,First Owner,5,150,Bajaj
674,44800,30000,First Owner,5,150,Bajaj
675,20300,39450,First Owner,14,135,Bajaj
676,62000,18500,First Owner,5,150,Bajaj
677,45000,23695,First Owner,8,223,Hero
678,45000,33000,First Owner,5,150,Bajaj
679,16000,50000,First Owner,9,100,Hero
680,43300,21000,First Owner,8,150,Honda
681,135000,18100,First Owner,5,500,Royal Enfield
682,70000,9761,Second Owner,5,200,TVS
683,75700,14000,First Owner,5,223,Hero
684,110000,28500,First Owner,8,500,Royal Enfield
685,95000,11000,First Owner,6,200,Bajaj
686,28000,100000,First Owner,12,150,Yamaha
687,113000,13000,First Owner,5,350,Royal Enfield
688,40000,40600,First Owner,7,150,Honda
689,24000,52345,First Owner,7,110,Honda
690,101300,22500,First Owner,4,200,Bajaj
691,28000,33000,First Owner,8,125,Hero
692,57000,500,First Owner,4,150,Bajaj
693,89100,13800,Second Owner,4,200,Bajaj
694,108000,5000,First Owner,5,350,Royal Enfield
695,93000,7500,First Owner,3,200,TVS
696,54000,8000,First Owner,5,150,Bajaj
697,119000,1403,First Owner,4,350,Royal Enfield
698,21100,30000,First Owner,16,100,Hero
699,75000,5399,First Owner,4,220,Bajaj
700,22000,40000,First Owner,13,135,Bajaj
701,79999,10922,First Owner,4,200,Bajaj
702,85000,6000,First Owner,4,150,Suzuki
703,52200,4500,First Owner,4,150,Suzuki
704,48000,27098,First Owner,5,150,Bajaj
705,120000,14164,First Owner,6,350,Royal Enfield
